,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2017-04-07,137.52114868164062,62.60935592651367,894.8800048828125,249465.0,80.26457214355469,116.05408477783205,68.53771209716797,21.956859588623047,81.93643188476562,73.72176361083984
2017-04-08,137.52114868164062,62.60935592651367,894.8800048828125,249465.0,80.26457214355469,116.05408477783205,68.53771209716797,21.956859588623047,81.93643188476562,73.72176361083984
2017-04-09,137.52114868164062,62.60935592651367,894.8800048828125,249465.0,80.26457214355469,116.05408477783205,68.53771209716797,21.956859588623047,81.93643188476562,73.72176361083984
2017-04-10,137.35806274414062,62.46636199951172,907.0399780273438,250399.0,79.98517608642578,115.51525115966795,68.68813323974611,21.82413482666016,82.17516326904297,74.05133056640625
2017-04-11,135.88058471679688,62.41870498657226,902.3599853515624,248601.0,79.8454818725586,115.40377044677734,69.03598022460939,21.729326248168945,82.45983123779297,73.79299926757812
2017-04-12,136.04365539550778,62.18038940429688,896.22998046875,247930.0,79.53813171386719,116.50001525878906,69.04538726806639,21.47335433959961,82.92814636230469,73.9088134765625
2017-04-13,135.32415771484378,61.91347885131836,884.6699829101562,245000.0,78.60678100585938,116.1191177368164,68.77274322509766,21.17945671081543,82.67102813720703,72.76860046386719
2017-04-14,135.32415771484378,61.91347885131836,884.6699829101562,245000.0,78.60678100585938,116.1191177368164,68.77274322509766,21.17945671081543,82.67102813720703,72.76860046386719
2017-04-15,135.32415771484378,61.91347885131836,884.6699829101562,245000.0,78.60678100585938,116.1191177368164,68.77274322509766,21.17945671081543,82.67102813720703,72.76860046386719
2017-04-16,135.32415771484378,61.91347885131836,884.6699829101562,245000.0,78.60678100585938,116.1191177368164,68.77274322509766,21.17945671081543,82.67102813720703,72.76860046386719
2017-04-17,136.07244873046878,62.41870498657226,901.989990234375,246700.0,79.96656036376953,116.79730987548828,69.09239959716797,21.625041961669922,83.00160217285156,72.67061614990234
2017-04-18,135.46803283691406,62.33291244506836,903.780029296875,245750.0,79.31460571289062,113.17410278320312,69.46846771240234,21.53023338317871,83.37808990478516,72.198486328125
2017-04-19,134.9691162109375,61.99927139282226,899.2000122070312,244047.0,78.66265869140625,112.75602722167969,69.6376953125,21.55867958068848,82.90583038330078,71.69966125488281
2017-04-20,136.65771484375,62.43777465820313,902.0599975585938,247200.0,79.6778335571289,113.22056579589844,70.32402038574219,21.871530532836914,82.65599822998047,72.1628646850586
